,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[107],4.073,1.733,0.598,7.319
likelihood_unobserved[108],3.251,1.742,-0.102,6.692
likelihood_unobserved[109],4.104,1.733,0.657,7.426
likelihood_unobserved[110],4.021,1.74,0.514,7.319
likelihood_unobserved[111],3.23,1.729,-0.225,6.545
likelihood_unobserved[112],4.086,1.723,0.667,7.425
likelihood_unobserved[113],3.216,1.734,-0.217,6.61
likelihood_unobserved[114],4.078,1.717,0.676,7.342
likelihood_unobserved[115],3.231,1.688,-0.045,6.546
likelihood_unobserved[116],4.084,1.729,0.751,7.491
likelihood_unobserved[117],3.274,1.734,-0.212,6.592
likelihood_unobserved[118],4.147,1.712,0.603,7.223
likelihood_unobserved[119],3.217,1.729,-0.215,6.54
likelihood_unobserved[120],4.09,1.716,0.716,7.411
likelihood_unobserved[121],3.253,1.717,-0.107,6.597
likelihood_unobserved[122],4.148,1.7,0.681,7.295
likelihood_unobserved[123],3.248,1.699,-0.088,6.599
likelihood_unobserved[124],4.104,1.728,0.913,7.706
likelihood_unobserved[125],3.281,1.728,-0.017,6.709
likelihood_unobserved[126],4.128,1.723,0.91,7.589
likelihood_unobserved[127],3.253,1.706,-0.017,6.581
likelihood_unobserved[128],4.124,1.733,0.788,7.524
likelihood_unobserved[129],3.296,1.703,-0.013,6.692
likelihood_unobserved[130],4.163,1.706,0.876,7.439
likelihood_unobserved[131],3.196,1.713,-0.226,6.502
likelihood_unobserved[132],4.068,1.703,0.778,7.449
likelihood_unobserved[133],3.268,1.706,-0.156,6.465
likelihood_unobserved[134],4.116,1.727,0.845,7.611
likelihood_unobserved[135],3.205,1.727,-0.177,6.586
likelihood_unobserved[136],4.047,1.688,0.875,7.508
likelihood_unobserved[137],3.268,1.748,-0.059,6.817
likelihood_unobserved[138],4.122,1.722,0.742,7.44
likelihood_unobserved[139],3.211,1.727,-0.136,6.72
likelihood_unobserved[140],4.057,1.73,0.639,7.354
likelihood_unobserved[141],3.267,1.708,-0.192,6.536
likelihood_unobserved[142],4.129,1.73,0.773,7.528
likelihood_unobserved[143],3.224,1.722,-0.166,6.555
likelihood_unobserved[144],4.085,1.728,0.932,7.647
likelihood_unobserved[145],3.277,1.745,0.014,6.804
likelihood_unobserved[146],4.119,1.709,0.672,7.377
likelihood_unobserved[147],3.233,1.7,-0.059,6.608
likelihood_unobserved[148],4.079,1.731,0.768,7.506
likelihood_unobserved[149],3.286,1.752,0.028,6.814
likelihood_unobserved[150],4.125,1.742,0.7,7.511
likelihood_unobserved[151],3.218,1.727,-0.133,6.562
likelihood_unobserved[152],4.081,1.699,0.714,7.294
likelihood_unobserved[153],3.253,1.698,-0.011,6.672
likelihood_unobserved[154],4.122,1.707,0.7,7.376
likelihood_unobserved[155],3.209,1.698,-0.152,6.452
likelihood_unobserved[156],4.091,1.689,0.706,7.38
likelihood_unobserved[157],3.265,1.759,-0.196,6.67
likelihood_unobserved[158],4.129,1.726,0.831,7.574
likelihood_unobserved[159],3.199,1.732,-0.141,6.593
likelihood_unobserved[160],4.077,1.736,0.552,7.326
likelihood_unobserved[161],3.265,1.734,-0.125,6.656
likelihood_unobserved[162],4.116,1.715,0.746,7.364
likelihood_unobserved[163],3.231,1.702,-0.161,6.522
likelihood_unobserved[164],4.08,1.726,0.667,7.437
likelihood_unobserved[165],3.254,1.717,-0.025,6.653
