,variables,value
0,c0,1.7747377283859507
1,c1,0.04756379390582786
2,c2,0.43251648194604814
3,c3,0.052609563565512815
4,c4,-0.03817173835543643
5,c5,0.00030046769995357064
6,c6,7.673937072244586e-05
7,r2,0.13115841129815098
