,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[100],94.069,551.095,-963.388,1163.079
likelihood_unobserved[101],136.361,552.136,-960.789,1193.842
likelihood_unobserved[102],101.44,564.499,-1013.986,1203.7
likelihood_unobserved[103],157.283,560.752,-941.175,1244.218
likelihood_unobserved[104],84.038,549.033,-954.012,1173.479
likelihood_unobserved[105],128.45,560.247,-960.35,1221.8
likelihood_unobserved[106],66.766,559.888,-1010.213,1178.471
likelihood_unobserved[107],132.353,553.707,-944.144,1196.367
likelihood_unobserved[108],81.529,551.442,-971.283,1202.03
likelihood_unobserved[109],134.549,558.241,-961.914,1234.344
likelihood_unobserved[110],132.552,553.727,-947.756,1251.027
likelihood_unobserved[111],85.039,544.974,-962.859,1178.839
likelihood_unobserved[112],126.288,557.728,-1010.216,1176.807
likelihood_unobserved[113],63.152,560.512,-1006.982,1163.263
likelihood_unobserved[114],113.635,560.22,-973.086,1193.397
likelihood_unobserved[115],79.552,557.8,-997.794,1190.844
likelihood_unobserved[116],136.045,559.585,-995.464,1198.691
likelihood_unobserved[117],89.701,555.036,-961.424,1202.315
likelihood_unobserved[118],144.958,549.048,-895.974,1255.304
likelihood_unobserved[119],113.683,553.849,-983.06,1202.008
likelihood_unobserved[120],161.891,562.477,-958.819,1233.988
likelihood_unobserved[121],118.339,557.601,-995.678,1170.356
likelihood_unobserved[122],160.041,565.765,-916.294,1307.703
likelihood_unobserved[123],106.207,566.998,-995.489,1213.827
likelihood_unobserved[124],168.253,550.682,-884.094,1237.149
likelihood_unobserved[125],112.858,553.26,-954.919,1191.602
likelihood_unobserved[126],158.674,563.607,-956.076,1261.233
likelihood_unobserved[127],114.102,543.494,-990.468,1133.498
likelihood_unobserved[128],168.82,552.791,-918.255,1256.461
likelihood_unobserved[129],102.785,557.645,-1037.508,1159.653
likelihood_unobserved[130],164.442,539.777,-889.724,1195.552
likelihood_unobserved[131],86.549,559.617,-1045.321,1162.605
likelihood_unobserved[132],127.756,541.439,-937.206,1165.7
likelihood_unobserved[133],81.417,566.906,-1032.226,1201.016
likelihood_unobserved[134],130.491,550.668,-940.593,1193.509
likelihood_unobserved[135],84.221,561.769,-950.056,1254.596
