,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],-149.463,48.272,-242.931,-55.818
beta[1],2.652,1.259,0.202,5.102
beta[2],24.43,3.274,18.135,30.883
beta[3],69.608,10.106,49.735,88.804
beta[4],-7.529,2.423,-12.303,-2.85
beta[5],0.145,0.026,0.096,0.199
beta[6],-0.153,0.04,-0.23,-0.073
tau,0.0,0.0,0.0,0.0
sigma,554.748,3.974,547.196,562.731
variance,307761.619,4409.896,299423.739,316666.246
br2,0.03,0.014,0.002,0.056
