,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],1.813,0.197,1.39,2.145
beta[1],0.028,0.005,0.018,0.038
beta[2],-0.401,0.013,-0.428,-0.376
beta[3],0.058,0.04,-0.025,0.133
beta[4],-0.05,0.01,-0.07,-0.033
beta[5],0.001,0.0,0.001,0.001
beta[6],0.0,0.0,-0.0,0.0
tau,0.2,0.003,0.194,0.205
sigma,2.239,0.016,2.209,2.271
variance,5.013,0.072,4.875,5.153
br2,0.108,0.013,0.083,0.132
