,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],-0.012,0.666,-0.484,0.459
beta[1],0.018,0.013,0.008,0.027
beta[2],-2.058,0.039,-2.085,-2.03
beta[3],-0.068,0.02,-0.082,-0.054
beta[4],-0.096,0.019,-0.109,-0.082
beta[5],0.003,0.001,0.003,0.003
beta[6],-0.0,0.0,-0.0,0.0
tau,0.025,0.0,0.025,0.025
sigma,6.37,0.02,6.355,6.384
variance,40.573,0.258,40.39,40.756
br2,1.0,0.0,1.0,1.0
