,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],1.772,0.18,1.435,2.143
beta[1],0.048,0.005,0.038,0.057
beta[2],0.433,0.017,0.398,0.464
beta[3],0.052,0.037,-0.022,0.123
beta[4],-0.038,0.009,-0.056,-0.02
beta[5],0.0,0.0,0.0,0.0
beta[6],0.0,0.0,-0.0,0.0
tau,0.337,0.006,0.326,0.349
sigma,1.722,0.015,1.693,1.751
variance,2.964,0.052,2.866,3.066
br2,0.131,0.015,0.101,0.16
