,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],-113.408,7.648,-121.054,-105.761
beta[1],-7.771,0.347,-8.118,-7.424
beta[2],5.122,0.899,4.223,6.021
beta[3],-31.489,0.961,-32.45,-30.528
beta[4],-3.986,0.591,-4.576,-3.396
beta[5],0.009,0.0,0.008,0.009
beta[6],0.142,0.011,0.131,0.152
