,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[104],3.46,2.222,-0.977,7.804
likelihood_unobserved[105],2.704,2.164,-1.339,7.07
likelihood_unobserved[106],3.54,2.309,-0.927,7.958
likelihood_unobserved[107],2.667,2.203,-1.767,6.77
likelihood_unobserved[108],3.492,2.157,-0.667,7.826
likelihood_unobserved[109],2.64,2.221,-1.823,6.814
likelihood_unobserved[110],2.648,2.281,-1.814,7.268
likelihood_unobserved[111],3.498,2.2,-0.869,7.585
likelihood_unobserved[112],2.708,2.213,-1.331,7.222
likelihood_unobserved[113],3.485,2.183,-0.483,7.866
likelihood_unobserved[114],2.657,2.222,-1.844,7.029
likelihood_unobserved[115],3.495,2.207,-0.635,8.023
likelihood_unobserved[116],2.703,2.213,-1.531,7.183
likelihood_unobserved[117],3.587,2.276,-1.127,7.81
likelihood_unobserved[118],2.684,2.324,-1.997,7.059
likelihood_unobserved[119],3.637,2.253,-0.457,8.286
likelihood_unobserved[120],2.818,2.208,-1.445,7.365
likelihood_unobserved[121],3.669,2.148,-0.463,7.791
likelihood_unobserved[122],2.824,2.184,-1.635,7.014
likelihood_unobserved[123],3.618,2.341,-0.873,8.35
likelihood_unobserved[124],2.788,2.222,-1.305,7.357
likelihood_unobserved[125],3.646,2.265,-0.911,7.788
likelihood_unobserved[126],2.859,2.248,-1.455,7.163
likelihood_unobserved[127],3.645,2.186,-0.395,8.069
likelihood_unobserved[128],2.818,2.204,-1.61,6.988
likelihood_unobserved[129],3.635,2.251,-0.386,8.409
likelihood_unobserved[130],2.924,2.321,-1.367,7.674
likelihood_unobserved[131],3.406,2.239,-0.836,7.748
likelihood_unobserved[132],2.677,2.292,-1.655,7.085
likelihood_unobserved[133],3.5,2.236,-1.026,7.639
likelihood_unobserved[134],2.756,2.171,-1.894,6.684
likelihood_unobserved[135],3.472,2.263,-0.665,8.168
likelihood_unobserved[136],2.687,2.274,-1.633,7.256
likelihood_unobserved[137],3.545,2.19,-0.576,7.87
likelihood_unobserved[138],2.79,2.232,-1.448,7.279
likelihood_unobserved[139],3.377,2.185,-1.062,7.392
likelihood_unobserved[140],2.63,2.216,-1.701,6.972
likelihood_unobserved[141],3.503,2.321,-0.669,8.317
likelihood_unobserved[142],2.689,2.261,-1.56,7.459
likelihood_unobserved[143],3.504,2.169,-0.59,7.896
likelihood_unobserved[144],2.638,2.256,-1.852,6.915
likelihood_unobserved[145],3.416,2.229,-1.047,7.615
likelihood_unobserved[146],2.681,2.212,-1.635,6.909
likelihood_unobserved[147],3.461,2.298,-1.153,7.695
likelihood_unobserved[148],2.594,2.223,-1.635,7.005
likelihood_unobserved[149],3.478,2.298,-0.883,8.169
likelihood_unobserved[150],2.777,2.194,-1.604,6.84
likelihood_unobserved[151],3.402,2.268,-1.164,7.658
likelihood_unobserved[152],2.702,2.164,-1.433,6.869
likelihood_unobserved[153],3.522,2.18,-0.414,7.983
likelihood_unobserved[154],2.688,2.249,-1.619,7.079
likelihood_unobserved[155],3.448,2.21,-0.699,7.744
likelihood_unobserved[156],2.675,2.235,-1.524,7.315
likelihood_unobserved[157],3.512,2.202,-0.963,7.554
likelihood_unobserved[158],2.582,2.191,-1.961,6.633
likelihood_unobserved[159],3.478,2.194,-0.716,7.789
likelihood_unobserved[160],2.655,2.208,-2.043,6.626
likelihood_unobserved[161],3.486,2.217,-0.662,7.804
likelihood_unobserved[162],2.646,2.268,-1.882,6.835
likelihood_unobserved[163],3.464,2.171,-0.702,7.876
likelihood_unobserved[164],2.63,2.2,-1.484,6.941
likelihood_unobserved[165],3.524,2.229,-0.896,7.793
likelihood_unobserved[166],2.692,2.247,-1.551,7.016
likelihood_unobserved[167],3.46,2.229,-0.767,8.27
likelihood_unobserved[168],2.601,2.342,-1.969,7.058
likelihood_unobserved[169],3.51,2.094,-0.559,7.76
likelihood_unobserved[170],2.748,2.215,-1.712,7.071
likelihood_unobserved[171],3.436,2.296,-1.1,8.042
likelihood_unobserved[172],2.698,2.183,-1.445,7.054
likelihood_unobserved[173],3.49,2.283,-1.136,7.788
likelihood_unobserved[174],2.638,2.215,-1.937,6.803
likelihood_unobserved[175],3.472,2.206,-0.887,7.652
likelihood_unobserved[176],2.604,2.257,-1.465,7.388
likelihood_unobserved[177],3.527,2.206,-0.859,7.614
likelihood_unobserved[178],2.743,2.283,-1.564,7.08
likelihood_unobserved[179],3.48,2.221,-0.813,7.766
likelihood_unobserved[180],2.67,2.244,-1.575,7.176
likelihood_unobserved[181],3.517,2.209,-0.681,8.079
likelihood_unobserved[182],2.746,2.162,-1.487,6.808
likelihood_unobserved[183],3.457,2.205,-1.266,7.532
likelihood_unobserved[184],2.751,2.252,-1.615,7.058
likelihood_unobserved[185],3.574,2.332,-0.759,8.333
likelihood_unobserved[186],2.753,2.236,-1.773,6.899
likelihood_unobserved[187],3.544,2.315,-0.782,8.19
likelihood_unobserved[188],2.757,2.269,-1.692,7.284
likelihood_unobserved[189],3.552,2.166,-0.872,7.372
likelihood_unobserved[190],2.776,2.234,-1.415,7.348
likelihood_unobserved[191],3.5,2.27,-0.507,8.15
likelihood_unobserved[192],2.769,2.122,-1.239,6.872
likelihood_unobserved[193],3.522,2.27,-0.787,7.876
likelihood_unobserved[194],2.7,2.183,-1.523,6.694
likelihood_unobserved[195],3.453,2.241,-1.217,7.489
likelihood_unobserved[196],2.677,2.227,-1.771,6.832
likelihood_unobserved[197],3.492,2.259,-1.011,7.758
likelihood_unobserved[198],2.727,2.201,-1.735,6.888
likelihood_unobserved[199],3.548,2.18,-0.748,7.848
likelihood_unobserved[200],2.751,2.155,-1.455,6.996
likelihood_unobserved[201],3.759,2.28,-0.459,8.394
likelihood_unobserved[202],2.756,2.22,-1.793,6.977
likelihood_unobserved[203],3.537,2.178,-0.308,8.003
likelihood_unobserved[204],2.859,2.215,-1.616,6.856
likelihood_unobserved[205],3.536,2.199,-0.554,7.945
likelihood_unobserved[206],2.757,2.246,-1.843,6.948
likelihood_unobserved[207],3.562,2.209,-0.514,7.954
likelihood_unobserved[208],2.841,2.203,-1.413,7.166
likelihood_unobserved[209],3.513,2.314,-1.261,7.995
likelihood_unobserved[210],2.663,2.252,-1.567,7.251
likelihood_unobserved[211],3.616,2.23,-0.802,7.751
likelihood_unobserved[212],2.746,2.151,-1.289,7.195
likelihood_unobserved[213],3.361,2.185,-1.072,7.435
likelihood_unobserved[214],2.585,2.265,-1.924,7.102
likelihood_unobserved[215],3.449,2.206,-0.696,7.742
likelihood_unobserved[216],2.625,2.205,-1.995,6.762
likelihood_unobserved[217],3.428,2.232,-1.07,7.752
likelihood_unobserved[218],2.642,2.203,-1.845,6.74
likelihood_unobserved[219],3.469,2.23,-1.162,7.615
likelihood_unobserved[220],2.601,2.216,-1.638,6.828
likelihood_unobserved[221],3.522,2.254,-0.941,7.817
likelihood_unobserved[222],2.665,2.178,-1.854,6.821
likelihood_unobserved[223],3.482,2.256,-0.993,7.665
likelihood_unobserved[224],2.72,2.195,-1.544,7.018
likelihood_unobserved[225],3.515,2.237,-0.719,7.777
likelihood_unobserved[226],2.707,2.232,-1.365,7.301
likelihood_unobserved[227],3.482,2.234,-0.82,7.754
likelihood_unobserved[228],2.692,2.247,-1.634,6.961
likelihood_unobserved[229],3.43,2.183,-1.003,7.516
likelihood_unobserved[230],2.652,2.233,-1.662,6.835
likelihood_unobserved[231],3.499,2.323,-1.281,7.707
likelihood_unobserved[232],2.714,2.16,-1.286,6.88
likelihood_unobserved[233],3.634,2.282,-0.743,7.935
likelihood_unobserved[234],2.693,2.212,-1.532,7.067
likelihood_unobserved[235],3.606,2.3,-0.993,8.02
likelihood_unobserved[236],2.77,2.188,-1.67,6.819
likelihood_unobserved[237],3.48,2.204,-0.805,7.626
likelihood_unobserved[238],2.625,2.316,-1.739,7.147
likelihood_unobserved[239],3.443,2.166,-0.487,7.726
likelihood_unobserved[240],2.742,2.175,-1.257,7.046
likelihood_unobserved[241],2.654,2.158,-1.479,6.756
likelihood_unobserved[242],3.422,2.28,-0.897,7.693
likelihood_unobserved[243],2.614,2.302,-1.807,7.202
likelihood_unobserved[244],3.479,2.27,-0.946,7.885
likelihood_unobserved[245],2.725,2.295,-2.035,7.025
likelihood_unobserved[246],3.458,2.215,-0.588,8.157
likelihood_unobserved[247],2.645,2.204,-1.791,6.59
likelihood_unobserved[248],3.452,2.32,-0.988,7.79
likelihood_unobserved[249],2.71,2.214,-1.712,7.104
likelihood_unobserved[250],2.674,2.269,-1.655,7.107
likelihood_unobserved[251],2.78,2.307,-2.014,6.907
likelihood_unobserved[252],3.627,2.202,-0.46,8.093
likelihood_unobserved[253],2.848,2.226,-1.698,7.129
likelihood_unobserved[254],2.718,2.244,-1.59,6.964
likelihood_unobserved[255],2.619,2.247,-1.517,7.101
likelihood_unobserved[256],2.638,2.259,-1.486,7.05
likelihood_unobserved[257],2.763,2.251,-1.828,7.021
likelihood_unobserved[258],2.673,2.271,-1.929,6.983
likelihood_unobserved[259],2.711,2.278,-1.483,7.472
likelihood_unobserved[260],3.552,2.24,-0.636,8.348
likelihood_unobserved[261],2.822,2.271,-1.401,7.433
likelihood_unobserved[262],2.736,2.209,-1.3,7.128
likelihood_unobserved[263],2.594,2.203,-1.444,7.036
likelihood_unobserved[264],2.676,2.163,-1.533,7.006
likelihood_unobserved[265],2.727,2.227,-1.259,7.184
likelihood_unobserved[266],2.635,2.221,-1.642,6.951
likelihood_unobserved[267],2.656,2.298,-1.697,7.28
likelihood_unobserved[268],2.665,2.293,-1.836,7.362
likelihood_unobserved[269],3.548,2.238,-0.708,7.939
likelihood_unobserved[270],2.843,2.338,-1.645,7.786
likelihood_unobserved[271],2.729,2.226,-1.585,7.147
likelihood_unobserved[272],2.669,2.209,-1.433,7.005
likelihood_unobserved[273],2.604,2.2,-1.707,6.902
likelihood_unobserved[274],2.728,2.147,-1.314,7.034
likelihood_unobserved[275],3.532,2.149,-0.577,7.789
likelihood_unobserved[276],2.768,2.242,-1.639,7.188
likelihood_unobserved[277],2.717,2.238,-1.546,7.058
likelihood_unobserved[278],2.732,2.217,-1.409,7.229
likelihood_unobserved[279],2.66,2.228,-1.498,7.008
