,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[107],0.007,0.004,0.003,0.01
likelihood_unobserved[108],0.005,0.001,0.003,0.006
likelihood_unobserved[109],0.003,0.0,0.003,0.003
likelihood_unobserved[110],0.005,0.001,0.004,0.006
likelihood_unobserved[111],0.005,0.001,0.004,0.006
likelihood_unobserved[112],0.005,0.001,0.004,0.006
likelihood_unobserved[113],0.005,0.002,0.003,0.006
likelihood_unobserved[114],0.005,0.002,0.004,0.007
likelihood_unobserved[115],0.004,0.002,0.002,0.006
likelihood_unobserved[116],0.005,0.003,0.003,0.008
likelihood_unobserved[117],0.006,0.004,0.002,0.01
likelihood_unobserved[118],0.003,0.0,0.003,0.003
likelihood_unobserved[119],0.009,0.006,0.003,0.015
likelihood_unobserved[120],0.007,0.004,0.002,0.011
likelihood_unobserved[121],0.003,0.001,0.003,0.004
likelihood_unobserved[122],0.004,0.003,0.002,0.007
likelihood_unobserved[123],0.006,0.004,0.002,0.01
likelihood_unobserved[124],0.002,0.001,0.001,0.002
likelihood_unobserved[125],0.008,0.007,0.001,0.016
likelihood_unobserved[126],0.005,0.003,0.001,0.008
likelihood_unobserved[127],0.003,0.001,0.003,0.004
likelihood_unobserved[128],0.004,0.0,0.004,0.004
likelihood_unobserved[129],0.003,0.002,0.001,0.006
likelihood_unobserved[130],0.003,0.002,0.001,0.006
likelihood_unobserved[131],0.004,0.002,0.003,0.006
likelihood_unobserved[132],0.007,0.005,0.002,0.012
likelihood_unobserved[133],0.004,0.002,0.002,0.007
likelihood_unobserved[134],0.005,0.003,0.002,0.008
likelihood_unobserved[135],0.005,0.003,0.001,0.008
likelihood_unobserved[136],0.002,0.001,0.001,0.003
likelihood_unobserved[137],0.002,0.001,0.001,0.003
likelihood_unobserved[138],0.004,0.003,0.001,0.007
likelihood_unobserved[139],0.008,0.003,0.006,0.011
likelihood_unobserved[140],0.002,0.0,0.001,0.002
likelihood_unobserved[141],0.004,0.001,0.003,0.005
likelihood_unobserved[142],0.007,0.002,0.005,0.009
likelihood_unobserved[143],0.005,0.0,0.005,0.005
likelihood_unobserved[144],0.004,0.002,0.002,0.006
likelihood_unobserved[145],0.004,0.001,0.003,0.004
likelihood_unobserved[146],0.008,0.004,0.004,0.012
likelihood_unobserved[147],0.006,0.003,0.003,0.009
likelihood_unobserved[148],0.005,0.002,0.004,0.007
likelihood_unobserved[149],0.004,0.003,0.002,0.007
likelihood_unobserved[150],0.004,0.001,0.003,0.004
likelihood_unobserved[151],0.002,0.001,0.001,0.003
likelihood_unobserved[152],0.003,0.001,0.003,0.004
likelihood_unobserved[153],0.006,0.0,0.005,0.006
likelihood_unobserved[154],0.004,0.0,0.003,0.004
likelihood_unobserved[155],0.003,0.001,0.002,0.004
likelihood_unobserved[156],0.004,0.002,0.002,0.007
likelihood_unobserved[157],0.005,0.001,0.004,0.006
likelihood_unobserved[158],0.005,0.0,0.005,0.005
likelihood_unobserved[159],0.002,0.0,0.002,0.002
likelihood_unobserved[160],0.005,0.002,0.002,0.007
likelihood_unobserved[161],0.004,0.0,0.004,0.004
likelihood_unobserved[162],0.002,0.0,0.002,0.002
likelihood_unobserved[163],0.008,0.003,0.005,0.011
likelihood_unobserved[164],0.002,0.001,0.001,0.003
likelihood_unobserved[165],0.007,0.003,0.004,0.01
likelihood_unobserved[166],0.008,0.004,0.004,0.013
likelihood_unobserved[167],0.006,0.0,0.005,0.006
likelihood_unobserved[168],0.003,0.001,0.002,0.003
likelihood_unobserved[169],0.003,0.0,0.003,0.003
likelihood_unobserved[170],0.002,0.0,0.002,0.003
likelihood_unobserved[171],0.002,0.001,0.001,0.002
likelihood_unobserved[172],0.002,0.0,0.002,0.002
likelihood_unobserved[173],0.002,0.0,0.001,0.002
likelihood_unobserved[174],0.003,0.002,0.001,0.005
likelihood_unobserved[175],0.004,0.003,0.001,0.008
likelihood_unobserved[176],0.006,0.0,0.006,0.006
likelihood_unobserved[177],0.002,0.001,0.002,0.003
likelihood_unobserved[178],0.003,0.001,0.002,0.004
likelihood_unobserved[179],0.007,0.005,0.002,0.011
likelihood_unobserved[180],0.003,0.002,0.001,0.005
likelihood_unobserved[181],0.005,0.001,0.004,0.006
likelihood_unobserved[182],0.007,0.004,0.003,0.012
likelihood_unobserved[183],0.003,0.001,0.002,0.004
likelihood_unobserved[184],0.003,0.001,0.002,0.004
likelihood_unobserved[185],0.006,0.005,0.001,0.01
likelihood_unobserved[186],0.006,0.005,0.001,0.012
likelihood_unobserved[187],0.007,0.006,0.001,0.014
likelihood_unobserved[188],0.004,0.003,0.001,0.007
likelihood_unobserved[189],0.002,0.001,0.001,0.002
likelihood_unobserved[190],0.005,0.002,0.003,0.007
likelihood_unobserved[191],0.003,0.001,0.002,0.004
likelihood_unobserved[192],0.003,0.001,0.002,0.004
likelihood_unobserved[193],0.004,0.001,0.003,0.005
likelihood_unobserved[194],0.004,0.003,0.001,0.006
likelihood_unobserved[195],0.008,0.002,0.005,0.01
likelihood_unobserved[196],0.005,0.0,0.005,0.006
likelihood_unobserved[197],0.004,0.002,0.002,0.005
likelihood_unobserved[198],0.003,0.001,0.002,0.004
