,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],60.077,12.293,36.795,83.945
beta[1],-8.549,0.28,-9.073,-7.969
beta[2],-45.176,1.494,-48.062,-42.306
beta[3],-5.211,3.437,-12.087,0.783
beta[4],7.327,0.693,5.954,8.655
beta[5],0.002,0.008,-0.013,0.017
beta[6],-0.004,0.01,-0.023,0.015
